Population,YEAR,Years_Since,Sex,Age,Total_Length,Heart_Girth,Skull_Width,Mass
SB,1999,18,F,15,219,122.2,20.1,172.4
SB,1998,17,F,14,215,114,19.9,142.9
SB,2000,19,F,16,213.5,109.2,20.1,185.1
SB,1998,17,M,0,80,38.6,10,13.2
SB,2008,27,M,10,257,147,24.7,351.1
SB,1998,17,F,0,80,40.5,9.6,13.2
SB,1998,17,M,0,94.7,46.2,10.4,18.6
SB,2000,19,M,2,225,142,20.6,274.4
SB,1998,17,F,0,87.3,44,10.6,17.7
SB,1998,17,F,7,207.5,116.1,19.7,197.3
SB,2002,21,F,11,226,114,22.9,222.3
SB,1998,17,F,6,210,114.5,19.1,189.6
SB,2006,25,F,14,215,115,20,204.1
SB,2000,19,F,8,217,108,20.8,156.5
SB,1998,17,F,9,217,112.1,20.9,208.7
SB,2000,19,F,11,229,112,21.3,166.9
SB,1998,17,F,6,213,112,19.7,181.4
SB,1998,17,M,4,214,134,17.8,188.2
SB,1998,17,M,5,224.5,144,18.6,310.7
SB,2008,27,M,15,269,152.5,25.2,409.1
SB,2009,28,M,16,262,142.5,25.3,362.9
SB,2010,29,M,17,264,162.5,26,461.8
SB,1999,18,M,0,77.5,40.2,9.6,10
SB,1999,18,F,0,68.5,31,9.2,7.7
SB,1999,18,F,13,224,116,19.5,209.6
SB,2002,21,F,16,227,119,18.5,204.1
SB,1999,18,M,17,240,163,27.6,424.6
SB,1999,18,M,6,215.5,135.5,20.1,229.1
SB,1999,18,M,6,236,150.7,20.6,326.6
SB,1999,18,M,2,200,125.3,18.6,188.2
SB,2002,21,F,24,236,115.3,20.3,199.6
SB,1999,18,F,21,230,110.5,20.4,176.9
SB,2009,28,M,10,258,144.3,25.7,396.9
SB,2000,19,F,7,214,116,20.6,178.7
SB,1999,18,F,6,215,114.5,20.3,145.1
SB,2007,26,F,14,224.5,111,21.9,152.4
SB,1999,18,F,0,69.5,37.5,8.6,7.7
SB,1999,18,M,0,69,36,9,7.3
SB,1999,18,F,7,203,116,18.7,165.6
SB,1999,18,F,7,205.8,104.6,19,156.5
SB,1999,18,M,6,221.5,127,19.2,199.6
SB,1999,18,F,2,199.5,104.1,17.3,131.5
SB,1999,18,F,12,221,122.9,20.7,197.3
SB,2001,20,F,14,221,112.5,20.8,188.2
SB,1999,18,M,4,212,108,17.5,163.3
SB,1999,18,M,5,229.5,108.7,20.5,176.9
SB,1999,18,M,5,228.5,119,20.4,197.3
SB,1999,18,M,7,238.9,137.1,21.4,224.5
SB,1999,18,M,7,240,130.9,21.5,249.5
SB,2007,26,M,15,257,155.7,25.7,408.2
SB,1999,18,F,7,211.5,116.7,18,138.3
SB,1999,18,M,15,271.2,164.2,26.5,385.6
SB,1999,18,F,9,212,131,19.8,181.4
SB,2000,19,F,10,225.5,106.3,21,158.8
SB,2006,25,M,18,252,132.5,22.6,276.7
SB,2008,27,M,20,257.5,143,24.2,370.6
SB,2009,28,M,21,249.5,136.8,24.8,306.2
SB,1999,18,F,8,214,100.7,18.8,152
SB,2002,21,F,11,224.5,114,19.8,174.6
SB,2009,28,F,18,221,109,20.5,189.6
SB,2008,27,F,17,233,118,20.6,180.1
SB,1999,18,M,7,246,130.7,22.7,258.5
SB,2002,21,M,10,266,150,25,347
SB,2010,29,M,18,262,170,26.8,520.3
SB,2011,30,M,19,268,175.5,27.2,528.4
SB,1999,18,F,7,206.5,112,18.6,154.2
SB,1999,18,F,6,210.5,114.6,18.5,165.6
SB,1999,18,M,4,213.5,144,19.3,217.7
SB,2006,25,F,7,215,117.5,19.5,197.3
SB,2008,27,F,9,226.5,113.3,19.5,207.7
SB,2009,28,F,10,231,111,19.4,178.7
SB,1999,18,F,0,87.5,45.8,10.1,13.2
SB,2002,21,F,3,204,118.7,17.5,165.6
SB,2008,27,F,9,232,125.7,19.6,233.6
SB,1999,18,F,0,84.5,46,9.9,12.2
SB,1999,18,M,10,244.4,145.8,23,299.4
SB,1999,18,M,6,235.8,136.4,22,244.9
SB,2002,21,M,9,262,141,24.8,358.3
SB,1999,18,F,7,215.8,115.2,19,170.1
SB,2000,19,F,8,216,132,19.6,192.8
SB,1999,18,M,11,246.4,148.3,25.1,365.1
SB,1999,18,F,5,204.5,109.5,18.3,161
SB,2007,26,F,13,230,105,20.9,164.2
SB,2010,29,F,16,227,113.5,21.2,194.1
SB,1999,18,M,5,220.4,124.1,20,204.1
SB,1999,18,M,6,200.8,144,18,152
SB,2001,20,F,8,219.5,122.7,19.5,163.3
SB,1999,18,F,3,198,103.5,17,139.7
SB,1999,18,M,6,241,158.5,23.1,428.6
SB,2008,27,M,15,266,146.3,27,389.2
SB,1999,18,M,3,222.5,154,20.9,358.3
SB,1999,18,F,0,170,91,14.8,98
SB,2009,28,F,10,232,133,19.9,226.8
SB,1999,18,F,0,164.5,105.5,14.8,90.7
SB,1999,18,M,4,251,165.5,23.1,426.4
SB,2001,20,M,8,266,151.1,25.1,403.7
SB,2006,25,M,13,267,175.2,27.4,517.1
SB,2009,28,M,16,269,172,27.3,480.8
SB,1999,18,M,4,213,131.8,17.4,235.9
SB,2009,28,M,14,255,148,26.1,412.8
SB,2010,29,M,15,261,154.5,26.1,392.4
SB,1999,18,M,4,235.5,128.3,21.2,249.5
SB,2008,27,M,13,259,163.5,27.6,484.4
SB,1999,18,M,3,217.7,130,18.7,254
SB,2000,19,F,12,216,107.3,20.9,177.4
SB,2000,19,M,0,72.5,37.8,10.5,10
SB,2000,19,F,0,93.6,47,9.3,14.5
SB,2001,20,F,1,184.5,112,16.8,165.6
SB,2000,19,F,0,76,40.1,9.8,10
SB,2001,20,F,1,165,89.6,15.1,93
SB,2000,19,F,0,78.5,38.5,9.5,10
SB,2001,20,F,1,168,87.7,15.2,91.2
SB,2001,20,F,5,207,107,18.3,139.3
SB,2000,19,F,4,199,98.5,17.4,136.1
SB,2000,19,M,0,73.5,41.4,9.9,12.7
SB,2000,19,F,0,75.5,44.5,10,13.6
SB,2000,19,F,0,86,42.8,9.9,13.6
SB,2000,19,M,0,78.8,38.1,9.1,9.5
SB,2000,19,F,0,88,44.5,9.5,17.7
SB,2001,20,F,1,161,86.1,14.8,83
SB,2007,26,F,7,212,116.9,20.1,196.4
SB,2000,19,F,0,79,42.2,9.6,12.2
SB,2007,26,F,7,229,115,18.7,167.8
SB,2000,19,F,0,81,41,9.5,13.2
SB,2010,29,F,10,213.5,129,21.3,228.6
SB,2009,28,F,9,220,115,20.5,178.7
SB,2001,20,F,1,181,109,16.2,150.1
SB,2001,20,F,1,185,108.5,17.5,155.1
SB,2000,19,F,0,99,50.2,11,22.2
SB,2000,19,F,6,210,107.5,19.5,179.2
SB,2000,19,M,0,85.5,48.2,10.6,17.7
SB,2000,19,F,0,92.5,49.8,11.1,20.4
SB,2000,19,F,7,226.5,115.6,20.5,188.2
SB,2001,20,F,8,222,117.2,20.8,201.8
SB,2001,20,F,7,228,114,19.1,198.7
SB,2010,29,F,16,215,120.4,20.4,215.5
SB,2010,29,F,15,221,112,21.1,171.9
SB,2001,20,F,9,232,115.7,19.7,192.3
SB,2000,19,F,2,211.5,119.6,18.2,208.7
SB,2009,28,F,9,205,109.5,20.1,193.7
SB,2008,27,F,8,218.5,104.8,19.6,134.3
