Population,YEAR,Years_Since,Sex,Age,Total_Length,Heart_Girth,Skull_Width,Mass
SB,1986,5,F,17,212,121,21,213.2
SB,1985,4,F,16,218,117,21,204.1
SB,1992,11,M,21,260,160.5,26.6,394.6
SB,1984,3,F,13,226,118,21,215.5
SB,1991,10,F,22,218.5,119.4,21.9,206.4
SB,1992,11,F,23,231,109.4,21.7,158.8
SB,1984,3,F,11,224,127,21,240.4
SB,1986,5,M,16,241,147,25,385.6
SB,1986,5,F,23,216,107,20,172.4
SB,1985,4,F,22,209,113,20,170.1
SB,1984,3,F,11,212,115,20,181.4
SB,1998,17,F,28,229.5,119.7,20.7,200.9
SB,1991,10,F,21,228,122.1,21.7,217.7
SB,1992,11,F,22,225,116.5,20.7,186
SB,1985,4,F,15,221,114,21,188.2
SB,1984,3,F,10,220,120,21,181.4
SB,1983,2,F,20,241,133,22,254
SB,1992,11,F,18,236,115.8,21.8,207.3
SB,1983,2,M,14,278,173,28,462.7
SB,1986,5,M,17,259,174,28,499
SB,1985,4,F,19,227,134,22,231.3
SB,1985,4,M,8,253,165,28,430.9
SB,1986,5,M,9,257,146,27,426.4
SB,1998,17,F,20,216,109.2,21.3,182.3
SB,1983,2,F,11,234,131,19,235.9
SB,1986,5,F,14,232,122,20,240.4
SB,1985,4,F,13,207,111,20,195
SB,1983,2,F,3,211,112,18,170.1
SB,1983,2,F,2,201,106,17,138.3
SB,1983,2,M,0,145,86,15,73.5
SB,1983,2,F,4,219,147,20,281.2
SB,1983,2,M,2,190,151,20,317.5
SB,1983,2,M,5,250,147,22,308.4
SB,1983,2,F,2,193,117,18,176.9
SB,1983,2,M,8,265,187,27,499
SB,1983,2,M,3,240,138,21,276.7
SB,1983,2,M,3,185,126,20,215.5
SB,1983,2,F,2,213,126,19,208.7
SB,1983,2,F,4,220,153,20,281.2
SB,1983,2,F,3,212,122,18,213.2
SB,1983,2,F,2,207,124,19,195
SB,1983,2,M,10,273,178,27,476.3
SB,1983,2,M,3,219,136,20,244.9
SB,1983,2,M,2,209,141,19,244.9
SB,1983,2,F,8,217,127,20,181.4
SB,1983,2,F,2,196,111,18,156.5
SB,1983,2,F,6,219,126,20,156.5
SB,1983,2,M,9,229,142,25,303.9
SB,1983,2,F,7,231,132,20,222.3
SB,1983,2,F,1,172,99,15,81.6
SB,1983,2,F,4,216,112,19,187.8
SB,1992,11,F,13,224,108.4,20.8,176.9
SB,1983,2,F,4,217,123,19,176.9
SB,1983,2,M,4,246,133,21,326.6
SB,1983,2,M,11,257,144,26,353.8
SB,1983,2,F,17,221,132,21,222.3
SB,1983,2,M,1,210,106,17,131.5
SB,1983,2,F,4,222,133,20,231.3
CS,1996,15,M,17,278,178.2,29,509.1
SB,1986,5,M,7,259,136,25,362.9
SB,1985,4,F,13,214,123,20,190.5
SB,1992,11,F,11,236,114.5,22.2,194.1
SB,1985,4,F,20,212,115,21,181.4
SB,1983,2,F,12,226,108,20,145.1
SB,1984,3,F,13,232,128,21,181.4
SB,1985,4,F,14,221,138,21,249.5
SB,1992,11,F,21,225.5,114,22.6,179.2
SB,2001,20,F,22,223,106,21.8,167.8
SB,1984,3,F,3,206,116,16,167.8
SB,1985,4,M,20,254,151,26,313.9
SB,1992,11,F,13,227.5,113,21,174.6
SB,1991,10,F,10,218.5,117.1,20.7,168.7
SB,1985,4,F,8,217,104,19,157.4
SB,1984,3,F,7,225,116,20,176.9
SB,1986,5,F,12,216,104,20,158.8
SB,1983,2,F,9,216,115,22,167.8
SB,1983,2,M,1,189,99,16,113.4
SB,1984,3,M,2,219,114,19,172.4
SB,1985,4,M,3,222,112,20,183.7
SB,1983,2,M,1,182,95,16,102.1
SB,1984,3,M,2,215,114,19,167.8
SB,1983,2,F,8,212,110,19,176.9
SB,1998,17,F,23,218,108,19.8,161
SB,1991,10,F,16,219,106.8,19.3,156.5
SB,1985,4,M,16,263,151,26,449.1
SB,1985,4,M,7,252,156,23,424.1
SB,1994,13,M,13,268,168,27.1,489.9
SB,1984,3,F,6,223,118,21,167.8
SB,1983,2,F,5,230,127,20,204.1
SB,1983,2,M,5,262,155,25,353.8
SB,1986,5,F,12,225,101,21,165.6
SB,1999,18,F,18,216.9,132.7,21.3,215.5
SB,1985,4,F,4,193,107,19,127
SB,1991,10,F,10,218,100,19.3,138.3
SB,1992,11,F,11,215,106.9,19.8,171.5
SB,1983,2,F,2,198,101,17,136.1
SB,1983,2,F,0,151.2,88.3,14.6,79.4
SB,1983,2,M,0,167,92.7,15.3,97.5
SB,1983,2,M,1,200,117,18,140.6
SB,1983,2,M,4,223,151,22,335.7
SB,1984,3,M,5,237,129,24,249.5
SB,1983,2,M,1,175,107,15,113.4
SB,1983,2,M,1,205,119,18,195
SB,1983,2,F,0,145,91,15,86.2
SB,1983,2,F,4,206,127,18,199.6
SB,1983,2,F,2,193,101,18,136.1
SB,1983,2,F,3,230,141,21,231.3
SB,1983,2,F,3,210,104,17,129.3
SB,1983,2,F,1,195,112,17,147.4
SB,1983,2,F,2,208,124,17,199.6
SB,1983,2,M,1,200,117,18,186
SB,1983,2,F,1,187,110,17,149.7
SB,1983,2,M,3,244,158,22,331.1
SB,1984,3,F,13,221,132,22,240.4
SB,1984,3,M,14,250,144,24,294.8
SB,1984,3,F,7,212,115,21,195
SB,1984,3,M,1,161,87,15,74.8
SB,1984,3,F,1,156,74,15,54.4
SB,1984,3,F,6,220,109,19,158.8
SB,1984,3,M,10,275,156,26,394.6
SB,1984,3,F,4,216,118,19,167.8
SB,1984,3,F,5,230,129,20,213.2
SB,1983,2,F,2,210,138,18,231.3
SB,1984,3,F,9,210,130,20,195
SB,1984,3,F,19,222,118,21,190.5
SB,1984,3,M,1,172,96,16,95.3
SB,1984,3,F,1,160,82,15,72.6
SB,1984,3,F,1,161,86,14,59
SB,1984,3,M,4,259,149,24,326.6
SB,1984,3,F,1,171,93,16,95.3
SB,1984,3,F,9,224,116,20,195
SB,1984,3,M,2,198,97,18,136.1
SB,2002,21,F,20,230,109,20.8,192.8
SB,2007,26,F,25,223,117,20.8,188.2
SB,1984,3,F,2,202,106,17,167.8
SB,1984,3,F,10,224,123,21,208.7
SB,1984,3,F,2,196,116,19,156.5
SB,1984,3,F,12,232,112,21,190.5
SB,1984,3,F,2,213,110,18,149.7
SB,1985,4,M,1,137,88,15,75.7
SB,1984,3,M,3,227,119,20,186
SB,1985,4,M,4,234,130,21,289.4
SB,1992,11,M,11,259,152,26.5,417.3
SB,1984,3,M,15,260,150,28,353.8
SB,1992,11,M,23,254,139.8,26,318
SB,1985,4,M,1,164,95,15,95.3
SB,1985,4,F,1,166,88,16,108
SB,1984,3,M,2,200,115,18,163.3
SB,1984,3,F,6,215,122,20,172.4
SB,1991,10,F,13,231,121.5,21.2,226.8
SB,1985,4,F,5,207,119,19,200
SB,1984,3,F,4,213,117,18,186
SB,1984,3,F,4,209,113,20,149.7
SB,1984,3,F,4,225,148,20,258.5
SB,1984,3,F,4,230,138,19,285.8
SB,1984,3,F,0,143,83,13,72.6
SB,1991,10,F,8,224,112.5,20.7,201.8
SB,1985,4,F,2,198,120.5,18.1,131.5
SB,1985,4,M,4,227,129,21,235.9
SB,1985,4,F,11,208,129,21,222.3
SB,1985,4,F,5,221,119,19,186
SB,1985,4,F,3,193,102,17,138.3
SB,1985,4,M,6,204,121,20,199.6
SB,1985,4,F,5,208,110,19,179.2
SB,1985,4,F,12,207,117,21,181
SB,1985,4,M,2,200,113,19,172.4
SB,1985,4,M,2,197,111,19,168.7
SB,1985,4,F,6,215,112,18,173.7
SB,1998,17,F,19,227,116.6,20.6,233.6
SB,1991,10,F,12,227,113.8,20.1,190.5
SB,1985,4,F,4,195,108,19,145.1
SB,1985,4,F,3,204,109,19,167.4
SB,1985,4,F,5,210,117,20,181.4
SB,1986,5,F,6,218,110,20,181.4
SB,1985,4,F,4,207,110,20,153.8
SB,1985,4,F,2,196,114,18,146.1
SB,1985,4,F,6,209,109,18,154.2
SB,1985,4,F,4,211,103,19,142.9
SB,1985,4,M,3,215,120,20,179.2
SB,1985,4,F,7,210,117,20,201.8
SB,1985,4,F,6,223,125,20,204.1
SB,1985,4,F,14,208.7,104.5,20.6,152
SB,1985,4,F,7,214,119,21,176.9
SB,1985,4,M,5,225,114,22,190.5
SB,1985,4,F,10,205,110,20,140.6
SB,1985,4,F,16,203,111,20,150.6
SB,1985,4,F,3,195,112,19,150.1
SB,1985,4,F,6,215,101,20,158.8
SB,1985,4,F,7,207,101,19,173.3
SB,1985,4,F,0,132,72,13,52.2
SB,1985,4,F,0,132,73,12,45.4
SB,1985,4,F,1,188,103,16,138.3
SB,1985,4,F,1,165,81,15,90.7
SB,1985,4,M,1,172,90,14,104.3
SB,1985,4,M,11,262,173,26,451.3
SB,1985,4,M,2,211,124,19,226.8
SB,1985,4,F,2,195,118,18,190.5
SB,1985,4,F,4,216,114,19,226.8
SB,1985,4,F,4,199,107,18,186
SB,1985,4,M,1,190,103,17,145.1
SB,1989,8,M,5,242,127,22,340.2
SB,1985,4,M,9,263,150,24,392.4
SB,1985,4,M,15,251,159,28,437.7
SB,2002,21,F,18,230,107.4,20.7,161
SB,1985,4,F,1,171,99,16,108.9
SB,1985,4,M,1,191,105,18,145.1
SB,1985,4,M,3,228,127,21,242.7
SB,1985,4,F,1,188,111,16,163.3
SB,1994,13,M,10,267.5,150.6,25.8,424.1
SB,1985,4,M,3,232,135,21,254
SB,1985,4,M,3,211,108,19,138.3
SB,1985,4,M,4,240,135,22,299.4
SB,1985,4,F,5,213,121,19,217.7
SB,1985,4,M,2,201,116,19,176.9
SB,1985,4,F,12,211,120,20,217.7
SB,1985,4,F,8,209,127,21,190.5
SB,1986,5,M,8,237,148,23,288
SB,1986,5,M,2,219,107,19,163.3
SB,1986,5,M,13,270,181,27,512.6
SB,1986,5,F,3,210,100,18,137.4
SB,1986,5,F,0,132,78,13,59
SB,1991,10,F,4,224,103.5,18.1,145.1
SB,1991,10,F,7,242,125,20.6,244.9
SB,1999,18,F,15,229,147.6,21.1,240.4
SB,1986,5,F,8,206,104,19,136.1
SB,1991,10,F,13,210,109.2,19.8,181.4
SB,1991,10,F,1,152,81.8,14,68
SB,1991,10,F,1,169,87,15,72.6
SB,1991,10,M,1,160,87,14.7,77.1
SB,2001,20,M,11,255,144,24.7,351.5
SB,1986,5,M,17,241,132,24,285.8
SB,1986,5,M,11,264,148,24,390.1
SB,1986,5,M,5,268,142,25,371.9
SB,1986,5,F,16,217,129,21,272.2
SB,1986,5,F,0,138,90,14,79.4
SB,1986,5,F,0,137,76,14,68
SB,1998,17,F,12,228.5,120,20.5,209.6
SB,2008,27,F,22,233,128.5,20.7,255.8
SB,1992,11,F,6,223.5,110.6,19.1,174.6
SB,2006,25,F,20,227,133,20.5,233.6
SB,1999,18,F,13,224.5,115.6,20.4,181.4
CS,1988,7,F,2,191,111,17,110.5
SB,2003,22,F,22,232,118,21,220
SB,1992,11,F,11,222.5,116.8,20.4,188.2
SB,1998,17,F,17,233,107.8,20.6,168.7
SB,1989,8,F,3,209,112,19,188.2
SB,1989,8,F,1,182,88,17,117.9
SB,2000,19,F,12,223.5,106.8,21.1,172.4
SB,1989,8,F,1,177,89,16,113.4
CS,1986,5,M,4,247,141,22,254.5
CS,1986,5,F,10,220,120,21,200
CS,1986,5,M,1,170,102,17,109.1
CS,1986,5,F,3,215,116,18,181.8
CS,1986,5,M,2,214,108,18,168.2
CS,1986,5,F,6,216,133,21,259.1
CS,1986,5,M,1,166,96,16,104.5
CS,1986,5,F,1,165,87,15,88.6
SB,1986,5,F,8,223,119,21,199.6
SB,1986,5,M,2,185,91,16,127
SB,1986,5,M,2,219,108,19,172.4
SB,1986,5,F,9,209,102,20,163.3
SB,1986,5,F,8,216,109,20,176.9
SB,1986,5,F,8,221,114,20,190.5
CS,1987,6,F,10,211,127,21,213.6
CS,1987,6,F,4,196,107,18,161.4
CS,1987,6,M,2,200,106,18,159.1
CS,1987,6,F,2,189,98,17,140.9
SB,1991,10,F,12,219,116.3,19.6,186
SB,1992,11,F,13,216,116,20.2,179.2
SB,1988,7,F,0,84,42,9,14.1
SB,1991,10,M,3,215,109.2,19.6,172.4
SB,1991,10,F,3,197,93.7,17.6,111.1
CS,1991,10,F,2,193,105,17,140.9
CS,1991,10,M,2,199.5,113,18.4,195.5
SB,1989,8,M,0,87,43,11,12.7
SB,1989,8,M,0,90,48,11,14.5
SB,1989,8,M,0,162,82,15,95.3
SB,1992,11,F,3,202,101.6,18.2,148.8
SB,1989,8,M,0,90,47,11,15.9
SB,1989,8,F,0,85,39,10,12.7
SB,1989,8,F,0,86,41,10,12.7
SB,2011,30,F,22,231,142.7,21.6,221.4
SB,2001,20,F,12,224,107.2,20.7,167.8
SB,2002,21,F,13,234,123,21.5,222.3
SB,1989,8,F,0,91,49,10,17.2
SB,1989,8,F,0,142,81,14,70.3
CS,1987,6,M,14,260,153,24,390.9
CS,1987,6,F,13,226,120,21,227.3
CS,1987,6,M,1,149,87,14,72.7
CS,1988,7,M,2,192,103,17,118.2
CS,1987,6,F,1,156,83,14,50
CS,1988,7,F,2,187,101,16,100.9
CS,1988,7,F,9,222,120,21,231.8
CS,1988,7,M,1,192,98,17,113.6
CS,1988,7,M,1,186,97,17,125
CS,1988,7,F,2,194,106,19,177.3
CS,1988,7,M,2,183,134,19,206.8
CS,1988,7,F,2,182,113,18,159.1
SB,1989,8,F,3,203,110,20,174.6
CS,1988,7,F,2,194,107,17,161.4
CS,1988,7,F,2,195,98,18,150
CS,1988,7,F,3,181,94,17,145.5
CS,1988,7,M,2,219,124,21,281.8
CS,1988,7,F,8,233,107,21,231.8
CS,1988,7,M,1,174,92,16,113.6
CS,1988,7,M,1,143,80,15,84.1
CS,1988,7,F,11,236,115,21,202.3
CS,1988,7,M,1,182,88,16,104.5
CS,1988,7,M,2,212,111,19,200
SB,1989,8,F,9,225,116,19,172.4
CS,1988,7,F,7,225,122,19,181.8
CS,1988,7,F,1,150,82,14,56.8
CS,1988,7,M,2,188,110,17,140.9
CS,1988,7,F,2,173,103,16,100
CS,1988,7,F,4,190,94,17,120.5
CS,1988,7,F,11,200,116,20,163.6
CS,1988,7,M,1,172,95,16,95.5
CS,1988,7,M,1,175,98,17,100
CS,1988,7,M,2,202,111,18,154.5
SB,1989,8,F,13,203,124,21,199.6
SB,1989,8,F,1,156,89,15,72.6
CS,1989,8,F,4,225,127,20,204.5
SB,1989,8,F,6,220,119,20,190.5
CS,1989,8,M,15,252,163,27,379.5
